x, y
0.14783989257812502, 0.30090224187176917
0.16895983886718755, 0.33879695117921754
0.19360000000000002, 0.38030076564702775
0.21823989257812493, 0.4172932330827068
0.24991994628906264, 0.4642104987811326
0.28863989257812506, 0.5201503552888569
0.3238398925781251, 0.5706766917293233
0.35903989257812524, 0.6130827136505815
0.39775983886718763, 0.6599999793490073
0.43648005371093745, 0.6978947230747768
0.4787199462890627, 0.7321804304768269
0.5209598388671876, 0.7610526178116189
0.5631999999999999, 0.7845112678699924
0.6124800537109375, 0.8025563806519473
0.6617598388671876, 0.8115789370429247
0.6899199462890627, 0.8088721425909746
0.7145598388671873, 0.8016541387801781
0.7356800537109375, 0.787218045112782
0.7814398925781251, 0.7484210595152432
