x, y
0.36960000000000015, 0.3
0.44703989257812504, 0.3550375802176339
0.5244800537109378, 0.4109774023070371
0.5772800537109375, 0.4560901842619244
0.6160000000000002, 0.4876690972120242
0.6512, 0.5255639097744362
0.6828800537109377, 0.5634586535002057
0.7180800537109375, 0.6157894736842106
0.7532800537109376, 0.6554887011535186
0.7849598388671875, 0.6888721666837995
0.8236800537109378, 0.7195488721804512
0.8623999999999999, 0.7448120231915238
0.9116800537109379, 0.7718796923644562
0.9609598388671874, 0.79353382426097
1.0243199462890624, 0.8133834207864634
1.098239892578125, 0.8332330689394385
1.1616, 0.8485714216877644
1.2214398925781254, 0.8575939780787418
1.274239892578125, 0.8630075153551604
1.3376000000000001, 0.8657142753887894
1.3727999999999998, 0.8639097744360904
1.4080000000000001, 0.8575939780787418
1.4361598388671872, 0.8494736463503731
1.4572800537109376, 0.8377443471349273
1.4748800537109379, 0.8187969924812031
1.4819199462890627, 0.8034586397328771
